                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.0928,                0.83944,                 1.1252,                0.95195,                 0.8976,                0.95168,                0.73846,                0.86075,                0.62363,                 1.0104,             0.00015043,             0.00015043,             0.00015043
                    134,                 1.0543,                0.81792,                 1.1076,                0.93311,                0.91014,                 0.9506,                 0.7469,                 0.8543,                0.61442,                 1.0059,              0.0001431,              0.0001431,              0.0001431
                    135,                 1.1067,                0.82121,                 1.1213,                0.94154,                   0.91,                0.94944,                0.74671,                0.84482,                0.61282,                 1.0005,             0.00013576,             0.00013576,             0.00013576
                    136,                  1.021,                0.81142,                 1.1006,                0.93342,                0.90786,                0.95346,                0.75112,                0.83552,                0.60885,                0.99652,             0.00012843,             0.00012843,             0.00012843
                    137,                 1.0837,                0.82749,                 1.1174,                0.93537,                0.91372,                0.95013,                0.75211,                0.82896,                 0.6045,                0.99425,              0.0001211,              0.0001211,              0.0001211
                    138,                 1.0814,                 0.8509,                 1.1176,                0.92875,                0.90735,                 0.9511,                0.74584,                0.82675,                 0.6111,                0.99265,             0.00011377,             0.00011377,             0.00011377
                    139,                 1.0314,                0.80374,                 1.1019,                0.91863,                0.92034,                 0.9515,                0.74741,                0.82247,                0.60806,                0.98972,             0.00010643,             0.00010643,             0.00010643
                    140,                 1.0538,                0.79824,                 1.1055,                0.93645,                0.90362,                0.94934,                0.75124,                0.81883,                0.59699,                0.98689,             9.9101e-05,             9.9101e-05,             9.9101e-05
                    141,                 1.1203,                0.81122,                 1.1457,                0.93261,                0.90493,                0.94929,                0.74396,                0.84497,                 0.6095,                0.99428,             9.1769e-05,             9.1769e-05,             9.1769e-05
                    142,                 1.0649,                 0.7738,                 1.1109,                0.93642,                0.90998,                0.94985,                0.73701,                0.87447,                0.62358,                 1.0077,             8.4436e-05,             8.4436e-05,             8.4436e-05
                    143,                 1.0328,                0.73546,                 1.0842,                0.93526,                0.91271,                0.94904,                0.74214,                0.86888,                0.63051,                 1.0062,             7.7103e-05,             7.7103e-05,             7.7103e-05
                    144,                 1.0058,                0.72707,                 1.0855,                0.93846,                0.92402,                 0.9504,                0.74326,                0.85157,                0.62527,                 1.0002,             6.9771e-05,             6.9771e-05,             6.9771e-05
                    145,                0.98059,                0.70186,                 1.0583,                0.93216,                0.91359,                0.95166,                0.74942,                0.83457,                 0.6151,                0.99388,             6.2438e-05,             6.2438e-05,             6.2438e-05
                    146,                0.98948,                0.71733,                  1.078,                0.92791,                0.91514,                0.94921,                0.75512,                0.82095,                0.60473,                0.98715,             5.5106e-05,             5.5106e-05,             5.5106e-05
