Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
Fortuner,Toyota,2700 cc,SUV,2018,"115,000 km",Petrol,Automatic,Islamabad,PKR 1.16 crore
Fortuner,Toyota,2700 cc,SUV,2018,"110,000 km",Petrol,Automatic,Islamabad,PKR 1.16 crore
Fortuner,Toyota,2700 cc,SUV,2017,"59,500 km",Petrol,Automatic,Islamabad,PKR 1.18 crore
Fortuner,Toyota,2700 cc,SUV,2022,"12,000 km",Petrol,Automatic,Karachi,PKR 1.29 crore
Fortuner,Toyota,2700 cc,SUV,2017,"68,000 km",Petrol,Automatic,Karachi,PKR 1.02 crore
Fortuner,Toyota,2800 cc,SUV,2022,"4,000 km",Diesel,Automatic,Islamabad,PKR 1.9 crore
Fortuner,Toyota,2700 cc,SUV,2018,"24,000 km",Petrol,Automatic,Lahore,PKR 1.25 crore
Fortuner,Toyota,2700 cc,SUV,2021,"30,000 km",Petrol,Automatic,Punjab,PKR 1.62 crore
Fortuner,Toyota,2800 cc,SUV,2023,12 km,Diesel,Automatic,Un-Registered,PKR 1.98 crore
Fortuner,Toyota,2700 cc,SUV,2021,"20,000 km",Petrol,Automatic,Lahore,PKR 1.48 crore
Fortuner,Toyota,2800 cc,SUV,2022,"14,570 km",Diesel,Automatic,Sindh,PKR 1.82 crore
Fortuner,Toyota,2800 cc,SUV,2023,5 km,Diesel,Automatic,Un-Registered,Call for price
Fortuner,Toyota,2700 cc,SUV,2021,"47,000 km",Petrol,Automatic,Karachi,PKR 1.22 crore
Fortuner,Toyota,2700 cc,SUV,2017,"27,000 km",Petrol,Automatic,Punjab,PKR 1.19 crore
Fortuner,Toyota,2700 cc,SUV,2019,"38,000 km",Petrol,Automatic,Punjab,PKR 1.26 crore
Fortuner,Toyota,2800 cc,SUV,2021,"50,000 km",Diesel,Automatic,Islamabad,PKR 1.52 crore
Fortuner,Toyota,2800 cc,SUV,2021,"37,050 km",Diesel,Automatic,Islamabad,Call for price
Fortuner,Toyota,2800 cc,SUV,2022,"40,000 km",Diesel,Automatic,Islamabad,PKR 1.69 crore
Fortuner,Toyota,2700 cc,SUV,2024,1 km,Petrol,Automatic,Un-Registered,PKR 1.71 crore
Fortuner,Toyota,2700 cc,SUV,2017,"85,000 km",Petrol,Automatic,Islamabad,PKR 1.15 crore
